RXCUI_drug,TTY_drug,drug_name,RXCUI_ing,TTY_ing,ingredient_name
1242523,SCD,acetaminophen 125 MG / doxylamine succinate 5 MG Rectal Suppository,161,IN,acetaminophen
106821,SCD,acetaminophen 150 MG / sodium salicylate 100 MG Oral Tablet,161,IN,acetaminophen
251685,SCD,acetaminophen 150 MG Rectal Suppository,161,IN,acetaminophen
309447,SCD,acetaminophen 150 MG / caffeine 30 MG / codeine 15 MG / salicylamide 230 MG Oral Tablet,161,IN,acetaminophen
309466,SCD,acetaminophen 150 MG / caffeine 30 MG / codeine 30 MG / salicylamide 230 MG Oral Tablet,161,IN,acetaminophen
313824,SCD,acetaminophen 150 MG / caffeine 30 MG / salicylamide 230 MG Oral Tablet,161,IN,acetaminophen
314903,SCD,acetaminophen 150 MG / caffeine 30 MG / codeine 8 MG / salicylamide 230 MG Oral Tablet,161,IN,acetaminophen
432641,SCD,acetaminophen 150 MG / aspirin 250 MG / caffeine 30 MG Oral Tablet,161,IN,acetaminophen
432713,SCD,acetaminophen 150 MG / aspirin 250 MG / caffeine 50 MG Oral Tablet,161,IN,acetaminophen
857389,SCD,acetaminophen 150 MG / aspirin 230 MG / caffeine 30 MG / hydrocodone bitartrate 5 MG Oral Tablet,161,IN,acetaminophen
996778,SCD,acetaminophen 150 MG / aspirin 180 MG / codeine phosphate 15 MG Oral Capsule,161,IN,acetaminophen
996958,SCD,acetaminophen 150 MG / aspirin 180 MG / codeine phosphate 30 MG Oral Capsule,161,IN,acetaminophen
996959,SCD,acetaminophen 150 MG / aspirin 180 MG / codeine phosphate 60 MG Oral Capsule,161,IN,acetaminophen
1144261,SCD,acetaminophen 150 MG / chlorpheniramine maleate 2 MG / salicylamide 175 MG Oral Tablet,161,IN,acetaminophen
1190818,SCD,acetaminophen 150 MG / atropine sulfate 0.3 MG / ethaverine 20 MG / salicylamide 100 MG Oral Tablet,161,IN,acetaminophen
2275802,SCD,acetaminophen 150 MG / chlorpheniramine maleate 2 MG / phenylephrine hydrochloride 5 MG / salicylamide 250 MG Oral Tablet,161,IN,acetaminophen
205251,SCD,acetaminophen 160 MG / aspirin 230 MG / caffeine 33 MG Oral Tablet,161,IN,acetaminophen
209532,SBD,acetaminophen 160 MG Oral Capsule [Feverall],161,IN,acetaminophen
209864,SBD,acetaminophen 160 MG Oral Tablet [Mapap Junior Strength],161,IN,acetaminophen
209870,SBD,acetaminophen 160 MG Chewable Tablet [Mapap],161,IN,acetaminophen
209872,SBD,acetaminophen 160 MG Chewable Tablet [Tempra 3],161,IN,acetaminophen
209873,SBD,acetaminophen 160 MG Chewable Tablet [Tempra Quicklets],161,IN,acetaminophen
213290,SBD,acetaminophen 160 MG / aspirin 230 MG / caffeine 33 MG Oral Tablet [Supac],161,IN,acetaminophen
247650,SCD,acetaminophen 160 MG Rectal Suppository,161,IN,acetaminophen
282464,SCD,acetaminophen 160 MG Oral Tablet,161,IN,acetaminophen
307667,SCD,acetaminophen 160 MG Oral Capsule,161,IN,acetaminophen
308287,SCD,acetaminophen 160 MG / aspirin 230 MG / caffeine 33 MG / calcium gluconate 60 MG Oral Tablet,161,IN,acetaminophen
313820,SCD,acetaminophen 160 MG Chewable Tablet,161,IN,acetaminophen
429207,SCD,acetaminophen 160 MG / mephenesin 250 MG Oral Tablet,161,IN,acetaminophen
477282,SCD,acetaminophen 160 MG Disintegrating Oral Tablet,161,IN,acetaminophen
608652,SBD,acetaminophen 160 MG Disintegrating Oral Tablet [Mapap],161,IN,acetaminophen
608681,SBD,acetaminophen 160 MG Disintegrating Oral Tablet [Tylenol],161,IN,acetaminophen
828557,SBD,acetaminophen 160 MG Chewable Tablet [Tylenol],161,IN,acetaminophen
1095628,SBD,acetaminophen 160 MG Oral Tablet [Panadol],161,IN,acetaminophen
1146434,SBD,acetaminophen 160 MG Oral Tablet [Tylenol],161,IN,acetaminophen
2122363,SCD,acetaminophen 160 MG / dextromethorphan hydrobromide 5 MG Chewable Tablet,161,IN,acetaminophen
2167679,SCD,acetaminophen 160 MG / dextromethorphan hydrobromide 5 MG / pseudoephedrine hydrochloride 15 MG Chewable Tablet,161,IN,acetaminophen
2178755,SCD,acetaminophen 160 MG Oral Powder,161,IN,acetaminophen
2178758,SBD,acetaminophen 160 MG Oral Powder [Tylenol],161,IN,acetaminophen
2266748,SCD,acetaminophen 160 MG / pseudoephedrine hydrochloride 15 MG Chewable Tablet,161,IN,acetaminophen
307669,SCD,acetaminophen 160 MG/ML Oral Solution,161,IN,acetaminophen
246468,SCD,acetaminophen 200 MG / naproxen 100 MG Rectal Suppository,161,IN,acetaminophen
250671,SCD,acetaminophen 200 MG / aspirin 300 MG Oral Tablet,161,IN,acetaminophen
410224,SCD,acetaminophen 200 MG Oral Capsule,161,IN,acetaminophen
410831,SCD,acetaminophen 200 MG / propyphenazone 200 MG Oral Capsule,161,IN,acetaminophen
420459,SCD,acetaminophen 200 MG / ascorbic acid 100 MG / eucalyptol 70 MG Rectal Suppository,161,IN,acetaminophen
420873,SCD,acetaminophen 200 MG / promethazine 5 MG Rectal Suppository,161,IN,acetaminophen
421074,SCD,acetaminophen 200 MG Rectal Suppository,161,IN,acetaminophen
421155,SCD,acetaminophen 200 MG / codeine 10 MG Rectal Suppository,161,IN,acetaminophen
430744,SCD,acetaminophen 200 MG / carisoprodol 250 MG Oral Tablet,161,IN,acetaminophen
430834,SCD,acetaminophen 200 MG Oral Tablet,161,IN,acetaminophen
432644,SCD,acetaminophen 200 MG / aspirin 300 MG / caffeine 45 MG Oral Tablet,161,IN,acetaminophen
432645,SCD,acetaminophen 200 MG / aspirin 250 MG / caffeine 25 MG Oral Tablet,161,IN,acetaminophen
432714,SCD,acetaminophen 200 MG / aspirin 300 MG / caffeine 50 MG Oral Tablet,161,IN,acetaminophen
432716,SCD,acetaminophen 200 MG / aspirin 250 MG / caffeine 50 MG Oral Tablet,161,IN,acetaminophen
647873,SCD,acetaminophen 200 MG / magnesium salicylate 200 MG Oral Tablet,161,IN,acetaminophen
1424378,SCD,acetaminophen 200 MG / pseudoephedrine hydrochloride 30 MG Oral Capsule,161,IN,acetaminophen
1430132,SCD,acetaminophen 200 MG / pseudoephedrine hydrochloride 30 MG Oral Tablet,161,IN,acetaminophen
1437989,SCD,acetaminophen 200 MG / chlorpheniramine maleate 4 MG Oral Capsule,161,IN,acetaminophen
1664451,SCD,acetaminophen 200 MG / dextromethorphan hydrobromide 8 MG / guaifenesin 35 MG / phenylephrine hydrochloride 5 MG Oral Capsule,161,IN,acetaminophen
1664631,SCD,acetaminophen 200 MG / dextromethorphan hydrobromide 8 MG / diphenhydramine 18.75 MG / guaifenesin 35 MG / phenylephrine hydrochloride 5 MG Oral Capsule,161,IN,acetaminophen
1673788,SCD,acetaminophen 200 MG / aspirin 220 MG / caffeine 27 MG Oral Tablet,161,IN,acetaminophen
2391613,SCD,acetaminophen 200 MG / aspirin 230 MG / phenylpropanolamine hydrochloride 15 MG Oral Capsule,161,IN,acetaminophen
102604,SBD,acetaminophen 24 MG/ML Oral Suspension [Calpol],161,IN,acetaminophen
104902,SBD,acetaminophen 24 MG/ML Oral Suspension [Panadol],161,IN,acetaminophen
104906,SCD,acetaminophen 24 MG/ML Oral Solution,161,IN,acetaminophen
104909,SBD,acetaminophen 24 MG/ML Oral Suspension [Medinol Under Six],161,IN,acetaminophen
108430,SBD,acetaminophen 24 MG/ML Oral Solution [Placidex],161,IN,acetaminophen
108496,SBD,acetaminophen 24 MG/ML Oral Suspension [Medinol Pediatric],161,IN,acetaminophen
209392,SBD,acetaminophen 24 MG/ML Oral Solution [Aceta],161,IN,acetaminophen
209393,SBD,acetaminophen 24 MG/ML Oral Solution [S-T Febrol],161,IN,acetaminophen
250650,SCD,acetaminophen 24 MG/ML Oral Suspension,161,IN,acetaminophen
754892,SBD,acetaminophen 24 MG/ML Oral Solution [Paldesic],161,IN,acetaminophen
754893,SBD,acetaminophen 24 MG/ML Oral Solution [Salzone],161,IN,acetaminophen
755710,SCD,acetaminophen 24 MG/ML / dipyrone 80 MG/ML Oral Solution,161,IN,acetaminophen
755947,SBD,acetaminophen 24 MG/ML Oral Solution [Panaleve],161,IN,acetaminophen
857390,SCD,acetaminophen 24 MG/ML / hydrocodone bitartrate 0.5 MG/ML Oral Solution,161,IN,acetaminophen
992908,SCD,acetaminophen 24 MG/ML / promethazine hydrochloride 0.3 MG/ML Oral Suspension,161,IN,acetaminophen
993755,SCD,acetaminophen 24 MG/ML / codeine phosphate 2.4 MG/ML Oral Solution,161,IN,acetaminophen
993757,SBD,acetaminophen 24 MG/ML / codeine phosphate 2.4 MG/ML Oral Solution [Tylenol with Codeine],161,IN,acetaminophen
993763,SCD,acetaminophen 24 MG/ML / codeine phosphate 2.4 MG/ML Oral Suspension,161,IN,acetaminophen
993767,SBD,acetaminophen 24 MG/ML / codeine phosphate 2.4 MG/ML Oral Suspension [Capital and Codeine],161,IN,acetaminophen
1242526,SCD,acetaminophen 24 MG/ML / doxylamine succinate 1 MG/ML Oral Solution,161,IN,acetaminophen
1291948,SCD,acetaminophen 24 MG/ML / diphenhydramine hydrochloride 2.5 MG/ML Oral Solution,161,IN,acetaminophen
2168532,SCD,acetaminophen 24 MG/ML / chlorpheniramine maleate 0.8 MG/ML / dextromethorphan hydrobromide 3 MG/ML / phenylephrine hydrochloride 1 MG/ML Oral Suspension,161,IN,acetaminophen
152620,SCD,acetaminophen 240 MG Rectal Suppository,161,IN,acetaminophen
205288,SCD,acetaminophen 240 MG / caffeine 16 MG / phenylpropanolamine 18.75 MG / salicylamide 120 MG Oral Capsule,161,IN,acetaminophen
308296,SCD,acetaminophen 240 MG / caffeine 16 MG / phenylpropanolamine 18 MG / salicylamide 120 MG Oral Capsule,161,IN,acetaminophen
250085,SCD,acetaminophen 25 MG/ML / ibuprofen 20 MG/ML Oral Suspension,161,IN,acetaminophen
422626,SCD,acetaminophen 25 MG/ML Oral Suspension,161,IN,acetaminophen
754894,SBD,acetaminophen 25 MG/ML Oral Solution [Fanalgic],161,IN,acetaminophen
755717,SCD,acetaminophen 25 MG/ML Oral Solution,161,IN,acetaminophen
1190050,SCD,acetaminophen 25 MG/ML / dextromethorphan hydrobromide 1 MG/ML Oral Solution,161,IN,acetaminophen
1242527,SCD,acetaminophen 25 MG/ML / doxylamine succinate 1 MG/ML Oral Solution,161,IN,acetaminophen
1743369,SCD,acetaminophen 25 MG/ML / chlorpheniramine maleate 0.4 MG/ML / dextromethorphan hydrobromide 1.33 MG/ML / guaifenesin 20 MG/ML / phenylephrine hydrochloride 0.5 MG/ML Oral Solution,161,IN,acetaminophen
1790651,SCD,acetaminophen 25 MG/ML / dextromethorphan hydrobromide 1.33 MG/ML / guaifenesin 20 MG/ML / phenylephrine hydrochloride 0.5 MG/ML Oral Solution,161,IN,acetaminophen
2168599,SCD,acetaminophen 25 MG/ML / dextromethorphan hydrobromide 1 MG/ML / guaifenesin 10 MG/ML / pseudoephedrine hydrochloride 3 MG/ML Oral Solution,161,IN,acetaminophen
2168600,SCD,acetaminophen 25 MG/ML / dextromethorphan hydrobromide 1.5 MG/ML / guaifenesin 10 MG/ML / pseudoephedrine hydrochloride 3 MG/ML Oral Solution,161,IN,acetaminophen
2168793,SCD,acetaminophen 25 MG/ML / chlorpheniramine maleate 0.2 MG/ML / dextromethorphan hydrobromide 1.5 MG/ML / pseudoephedrine hydrochloride 3 MG/ML Oral Solution,161,IN,acetaminophen
2168795,SCD,acetaminophen 25 MG/ML / dextromethorphan hydrobromide 0.75 MG/ML / phenylpropanolamine hydrochloride 1.25 MG/ML Oral Solution,161,IN,acetaminophen
198204,SCD,acetaminophen 250 MG / salicylamide 600 MG Oral Tablet,161,IN,acetaminophen
209468,SBD,acetaminophen 250 MG / aspirin 250 MG / caffeine 65 MG Oral Tablet [Excedrin],161,IN,acetaminophen
209469,SBD,acetaminophen 250 MG / aspirin 250 MG / caffeine 65 MG Oral Tablet [Genace brand of acetaminophen/aspirin/caffeine],161,IN,acetaminophen
209472,SBD,acetaminophen 250 MG / aspirin 250 MG / caffeine 65 MG Oral Tablet [Uni-Case],161,IN,acetaminophen
213348,SBD,acetaminophen 250 MG / salicylamide 600 MG Oral Tablet [Panritis Forte],161,IN,acetaminophen
243679,SCD,acetaminophen 250 MG / salicylamide 250 MG Oral Tablet,161,IN,acetaminophen
249588,SCD,acetaminophen 250 MG / ibuprofen 200 MG Oral Capsule,161,IN,acetaminophen
249875,SCD,acetaminophen 250 MG Rectal Suppository,161,IN,acetaminophen
250493,SCD,acetaminophen 250 MG / caffeine 32.5 MG / salicylic acid 250 MG Oral Tablet,161,IN,acetaminophen
250998,SCD,acetaminophen 250 MG / ibuprofen 250 MG Oral Tablet,161,IN,acetaminophen
251462,SCD,acetaminophen 250 MG / styramate 100 MG Oral Tablet,161,IN,acetaminophen
283274,SCD,acetaminophen 250 MG / caffeine 50 MG / magnesium salicylate 290 MG Oral Tablet,161,IN,acetaminophen
284282,SBD,acetaminophen 250 MG / aspirin 250 MG / caffeine 65 MG Oral Tablet [Ex-Pain],161,IN,acetaminophen
307672,SCD,acetaminophen 250 MG / salicylamide 250 MG Oral Capsule,161,IN,acetaminophen
308297,SCD,acetaminophen 250 MG / aspirin 250 MG / caffeine 65 MG Oral Tablet,161,IN,acetaminophen
308298,SCD,acetaminophen 250 MG / chlorpheniramine 2 MG / phenylephrine 5 MG / salicylamide 250 MG Oral Tablet,161,IN,acetaminophen
359746,SCD,acetaminophen 250 MG / magnesium salicylate 250 MG Oral Tablet,161,IN,acetaminophen
388081,SCD,acetaminophen 250 MG Disintegrating Oral Tablet,161,IN,acetaminophen
430414,SCD,acetaminophen 250 MG / caffeine 50 MG / homatropine 1 MG Oral Tablet,161,IN,acetaminophen
430835,SCD,acetaminophen 250 MG Oral Tablet,161,IN,acetaminophen
432638,SCD,acetaminophen 250 MG / aspirin 250 MG Oral Tablet,161,IN,acetaminophen
432639,SCD,acetaminophen 250 MG / aspirin 325 MG Oral Tablet,161,IN,acetaminophen
432642,SCD,acetaminophen 250 MG / aspirin 210 MG / caffeine 40 MG Oral Tablet,161,IN,acetaminophen
432715,SCD,acetaminophen 250 MG / aspirin 250 MG / caffeine 50 MG Oral Tablet,161,IN,acetaminophen
540434,SBD,acetaminophen 250 MG / salicylamide 600 MG Oral Tablet [Frenadol],161,IN,acetaminophen
545871,SCD,acetaminophen 250 MG / aspirin 500 MG / caffeine 32.5 MG / salicylamide 150 MG Oral Tablet,161,IN,acetaminophen
545875,SBD,acetaminophen 250 MG / aspirin 500 MG / caffeine 32.5 MG / salicylamide 150 MG Oral Tablet [Levacet],161,IN,acetaminophen
616209,SCD,acetaminophen 250 MG / guaifenesin 1100 MG / phenylephrine hydrochloride 30 MG Extended Release Oral Tablet,161,IN,acetaminophen
636627,SCD,12 HR acetaminophen 250 MG / guaifenesin 1100 MG / phenylephrine hydrochloride 30 MG Extended Release Oral Tablet,161,IN,acetaminophen
647877,SCD,acetaminophen 250 MG / magnesium salicylate 250 MG / pamabrom 25 MG Oral Tablet,161,IN,acetaminophen
672601,SCD,acetaminophen 250 MG / caffeine 32.5 MG / magnesium salicylate 310 MG Oral Tablet,161,IN,acetaminophen
723530,SBD,acetaminophen 250 MG / aspirin 250 MG Oral Tablet [Excedrin Back & Body],161,IN,acetaminophen
723533,SBD,acetaminophen 250 MG / aspirin 250 MG / caffeine 65 MG Oral Tablet [Anacin Advanced Headache Formula],161,IN,acetaminophen
827318,SCD,acetaminophen 250 MG / aspirin 250 MG / caffeine 65 MG Oral Capsule,161,IN,acetaminophen
849412,SCD,acetaminophen 250 MG / propoxyphene hydrochloride 65 MG Oral Capsule,161,IN,acetaminophen
856953,SCD,acetaminophen 250 MG / caffeine 30 MG / chlorpheniramine maleate 2 MG / hydrocodone bitartrate 5 MG / phenylephrine hydrochloride 10 MG Oral Tablet,161,IN,acetaminophen
856955,SBD,acetaminophen 250 MG / caffeine 30 MG / chlorpheniramine maleate 2 MG / hydrocodone bitartrate 5 MG / phenylephrine hydrochloride 10 MG Oral Tablet [Hycomine Compound],161,IN,acetaminophen
856967,SCD,acetaminophen 250 MG / hydrocodone bitartrate 10 MG Oral Tablet,161,IN,acetaminophen
856971,SBD,acetaminophen 250 MG / hydrocodone bitartrate 10 MG Oral Tablet [Stagesic],161,IN,acetaminophen
884770,SBD,acetaminophen 250 MG / caffeine 50 MG / magnesium salicylate 290 MG Oral Tablet [Backprin],161,IN,acetaminophen
999729,SCD,acetaminophen 250 MG / tramadol hydrochloride 50 MG Oral Capsule,161,IN,acetaminophen
1045314,SBD,acetaminophen 250 MG / caffeine 32.5 MG / magnesium salicylate 310 MG Oral Tablet [Arthriten],161,IN,acetaminophen
1052416,SBD,acetaminophen 250 MG / aspirin 250 MG / caffeine 65 MG Oral Tablet [Pamprin Max Formula],161,IN,acetaminophen
1052445,SBD,acetaminophen 250 MG / magnesium salicylate 250 MG / pamabrom 25 MG Oral Tablet [Pamprin Cramp Formula],161,IN,acetaminophen
1090476,SCD,acetaminophen 250 MG / dextromethorphan hydrobromide 10 MG / guaifenesin 100 MG / pseudoephedrine hydrochloride 30 MG Oral Capsule,161,IN,acetaminophen
1099946,SCD,acetaminophen 250 MG / dextromethorphan hydrobromide 10 MG / guaifenesin 100 MG / pseudoephedrine hydrochloride 30 MG Oral Tablet,161,IN,acetaminophen
1193292,SCD,acetaminophen 250 MG / chlorpheniramine maleate 2 MG / dextromethorphan hydrobromide 10 MG / phenylephrine hydrochloride 5 MG Oral Capsule,161,IN,acetaminophen
1233920,SCD,acetaminophen 250 MG / dihydroergotamine tartrate 0.5 MG Oral Tablet,161,IN,acetaminophen
1236191,SCD,acetaminophen 250 MG / dihydrocodeine bitartrate 20 MG / salicylamide 250 MG Oral Capsule,161,IN,acetaminophen
1236395,SCD,acetaminophen 250 MG / dextromethorphan hydrobromide 10 MG / doxylamine succinate 6.25 MG / pseudoephedrine hydrochloride 30 MG Oral Capsule,161,IN,acetaminophen
1236419,SCD,acetaminophen 250 MG / dextromethorphan hydrobromide 10 MG / pseudoephedrine hydrochloride 30 MG Oral Capsule,161,IN,acetaminophen
1242528,SCD,acetaminophen 250 MG / doxylamine succinate 10 MG Rectal Suppository,161,IN,acetaminophen
1242618,SCD,acetaminophen 250 MG / doxylamine succinate 25 MG / salicylamide 150 MG Oral Tablet,161,IN,acetaminophen
1291949,SCD,acetaminophen 250 MG / dextromethorphan hydrobromide 15 MG / diphenhydramine hydrochloride 25 MG / pseudoephedrine hydrochloride 30 MG Oral Capsule,161,IN,acetaminophen
1303159,SBD,acetaminophen 250 MG / aspirin 250 MG / caffeine 65 MG Oral Tablet [Arthriten Inflammatory Pain],161,IN,acetaminophen
1359083,SBD,acetaminophen 250 MG / aspirin 250 MG / caffeine 65 MG Oral Tablet [Painaid ESF],161,IN,acetaminophen
1359103,SBD,acetaminophen 250 MG / magnesium salicylate 250 MG Oral Tablet [Painaid BRF],161,IN,acetaminophen
