RXCUI_drug,TTY_drug,drug_name,RXCUI_ing,TTY_ing,ingredient_name
1302684,SCD,alpha-tocopherol succinate 200 UNT / ascorbic acid 100 MG / magnesium sulfate 10 MG / zinc sulfate 18 MG Oral Tablet,1151,IN,ascorbic acid
1313925,SCD,alpha-tocopherol acetate 30 UNT / ascorbic acid 100 MG / beta carotene 1000 UNT / calcium carbonate 200 MG / calcium pantothenate 7 MG / cholecalciferol 400 UNT / docusate sodium 25 MG / ferrous fumarate 29 MG / folic acid 1 MG / niacinamide 15 MG / pyridoxine hydrochloride 20 MG / riboflavin 3 MG / thiamine 3 MG / vitamin B12 0.012 MG / zinc oxide 20 MG Oral Tablet,1151,IN,ascorbic acid
2200741,SCD,ascorbic acid 100 MG / chlorpheniramine maleate 4 MG / phenylpropanolamine hydrochloride 50 MG / pyrilamine maleate 25 MG Oral Capsule,1151,IN,ascorbic acid
198897,SCD,ascorbic acid 1000 MG Oral Tablet,1151,IN,ascorbic acid
211869,SBD,ascorbic acid 1000 MG Oral Tablet [Cemill 1000],1151,IN,ascorbic acid
237709,SCD,ascorbic acid 1000 MG Extended Release Oral Capsule,1151,IN,ascorbic acid
245462,SCD,ascorbic acid 1000 MG Oral Capsule,1151,IN,ascorbic acid
252169,SCD,ascorbic acid 1000 MG / calcium ascorbate 125 MG Oral Tablet,1151,IN,ascorbic acid
283293,SCD,ascorbic acid 1000 MG Powder for Oral Suspension,1151,IN,ascorbic acid
308382,SCD,ascorbic acid 1000 MG Extended Release Oral Tablet,1151,IN,ascorbic acid
333831,SCD,ascorbic acid 1000 MG Chewable Tablet,1151,IN,ascorbic acid
428515,SCD,ascorbic acid 1000 MG / potassium citrate 60 MG Oral Tablet,1151,IN,ascorbic acid
433926,SCD,24 HR ascorbic acid 1000 MG / calcium ascorbate 125 MG Extended Release Oral Tablet,1151,IN,ascorbic acid
844909,SCD,ascorbic acid 1000 MG / calcium ascorbate 125 MG Extended Release Oral Tablet,1151,IN,ascorbic acid
1298176,SCD,ascorbic acid 1000 MG / calcium carbonate 100 MG Oral Tablet,1151,IN,ascorbic acid
1298187,SCD,ascorbic acid 1000 MG / calcium carbonate 87.5 MG Oral Tablet,1151,IN,ascorbic acid
1536431,SCD,ascorbic acid 1000 MG Effervescent Oral Tablet,1151,IN,ascorbic acid
198996,SCD,ascorbic acid 150 MG / ferrous sulfate 60 MG Extended Release Oral Capsule,1151,IN,ascorbic acid
198997,SCD,ascorbic acid 150 MG / ferrous sulfate 60 MG Extended Release Oral Tablet,1151,IN,ascorbic acid
204735,SCD,ascorbic acid 150 MG / ferrous fumarate 67 MG Extended Release Oral Tablet,1151,IN,ascorbic acid
210761,SBD,ascorbic acid 150 MG / ferrous fumarate 67 MG Extended Release Oral Tablet [Hemaspan],1151,IN,ascorbic acid
210777,SBD,ascorbic acid 150 MG / ferrous sulfate 60 MG Extended Release Oral Tablet [Irospan],1151,IN,ascorbic acid
210779,SBD,ascorbic acid 150 MG / ferrous sulfate 60 MG Extended Release Oral Capsule [Irospan],1151,IN,ascorbic acid
245461,SCD,ascorbic acid 150 MG Oral Capsule,1151,IN,ascorbic acid
245467,SCD,ascorbic acid 150 MG Oral Tablet,1151,IN,ascorbic acid
247843,SCD,ascorbic acid 150 MG / zinc gluconate 20 MG Oral Lozenge,1151,IN,ascorbic acid
259772,SCD,ascorbic acid 150 MG / ferrous sulfate 65 MG Extended Release Oral Capsule,1151,IN,ascorbic acid
259773,SCD,ascorbic acid 150 MG / ferrous sulfate 65 MG Extended Release Oral Tablet,1151,IN,ascorbic acid
260509,SBD,ascorbic acid 150 MG / ferrous sulfate 60 MG Extended Release Oral Tablet [Vitelle Irospan],1151,IN,ascorbic acid
260510,SBD,ascorbic acid 150 MG / ferrous sulfate 60 MG Extended Release Oral Capsule [Vitelle Irospan],1151,IN,ascorbic acid
308380,SCD,ascorbic acid 150 MG / ferrous sulfate 200 MG Oral Capsule,1151,IN,ascorbic acid
308381,SCD,ascorbic acid 150 MG / ferrous sulfate 200 MG Oral Tablet,1151,IN,ascorbic acid
313630,SCD,ascorbic acid 150 MG / copper sulfate 1 MG / ferrous fumarate 160 MG / folic acid 1.5 MG / vitamin B12 0.0075 MG Oral Tablet,1151,IN,ascorbic acid
314973,SCD,ascorbic acid 150 MG / ferrous fumarate 200 MG Oral Tablet,1151,IN,ascorbic acid
314974,SCD,ascorbic acid 150 MG / ferrous fumarate 75 MG / folic acid 1 MG / intrinsic factor 0.015 MG Extended Release Oral Capsule,1151,IN,ascorbic acid
359536,SCD,ascorbic acid 150 MG / ferrous sulfate 65 MG Oral Tablet,1151,IN,ascorbic acid
435076,SCD,ascorbic acid 150 MG / ferrous fumarate 67 MG Chewable Tablet,1151,IN,ascorbic acid
435088,SCD,ascorbic acid 150 MG / ferrous sulfate 40 MG Extended Release Oral Tablet,1151,IN,ascorbic acid
436295,SCD,ascorbic acid 150 MG / ferrous sulfate 40 MG Extended Release Oral Capsule,1151,IN,ascorbic acid
198892,SCD,ascorbic acid 1500 MG Oral Tablet,1151,IN,ascorbic acid
211926,SBD,ascorbic acid 1500 MG Oral Tablet [All Day C CR],1151,IN,ascorbic acid
237718,SCD,ascorbic acid 1500 MG Extended Release Oral Tablet,1151,IN,ascorbic acid
421790,SCD,ascorbic acid 20 MG/ML / ferrous chloride 10 MG/ML Oral Solution,1151,IN,ascorbic acid
425596,SCD,ascorbic acid 20 MG/ML Oral Solution,1151,IN,ascorbic acid
1304559,SCD,alpha-tocopherol acetate 1 UNT/ML / ascorbic acid 20 MG/ML / biotin 0.006 MG/ML / cholecalciferol 20 UNT/ML / dexpanthenol 1.5 MG/ML / folic acid 0.06 MG/ML / niacinamide 4 MG/ML / pyridoxine hydrochloride 0.6 MG/ML / riboflavin 0.36 MG/ML / thiamine hydrochloride 0.6 MG/ML / vitamin A palmitate 330 UNT/ML / vitamin B12 0.0005 MG/ML / vitamin K1 0.015 MG/ML Injectable Solution,1151,IN,ascorbic acid
1304564,SBD,alpha-tocopherol acetate 1 UNT/ML / ascorbic acid 20 MG/ML / biotin 0.006 MG/ML / cholecalciferol 20 UNT/ML / dexpanthenol 1.5 MG/ML / folic acid 0.06 MG/ML / niacinamide 4 MG/ML / pyridoxine hydrochloride 0.6 MG/ML / riboflavin 0.36 MG/ML / thiamine hydrochloride 0.6 MG/ML / vitamin A palmitate 330 UNT/ML / vitamin B12 0.0005 MG/ML / vitamin K1 0.015 MG/ML Injectable Solution [Infuvite],1151,IN,ascorbic acid
141991,SCD,ascorbic acid 200 MG Chewable Tablet,1151,IN,ascorbic acid
199014,SCD,ascorbic acid 200 MG / ferrous fumarate 65 MG Extended Release Oral Tablet,1151,IN,ascorbic acid
199254,SCD,ascorbic acid 200 MG / biotin 5 MG Oral Tablet,1151,IN,ascorbic acid
235411,SCD,ascorbic acid 200 MG / ferrous fumarate 108 MG Extended Release Oral Capsule,1151,IN,ascorbic acid
245463,SCD,ascorbic acid 200 MG Oral Capsule,1151,IN,ascorbic acid
245475,SCD,ascorbic acid 200 MG Delayed Release Oral Tablet,1151,IN,ascorbic acid
249285,SCD,ascorbic acid 200 MG / aspirin 500 MG Oral Tablet,1151,IN,ascorbic acid
283121,SCD,ascorbic acid 200 MG / hesperidin 200 MG Oral Tablet,1151,IN,ascorbic acid
283294,SCD,ascorbic acid 200 MG Oral Tablet,1151,IN,ascorbic acid
411994,SCD,ascorbic acid 200 MG / phenylpropanolamine hydrochloride 75 MG Extended Release Oral Capsule,1151,IN,ascorbic acid
428675,SCD,ascorbic acid 200 MG / rutin 50 MG Oral Tablet,1151,IN,ascorbic acid
434435,SCD,ascorbic acid 200 MG / sodium fluoride 25 MG Extended Release Oral Tablet,1151,IN,ascorbic acid
435065,SCD,ascorbic acid 200 MG / ferrous fumarate 100 MG Extended Release Oral Capsule,1151,IN,ascorbic acid
644714,SCD,ascorbic acid 200 MG / ferrous fumarate 300 MG / folic acid 0.5 MG Extended Release Oral Capsule,1151,IN,ascorbic acid
891716,SCD,ascorbic acid 200 MG / beta carotene 1000 UNT / cuprous oxide 2 MG / dl-alpha tocopheryl acetate 60 UNT / lutein 2 MG / sodium selenate 0.055 MG / zinc oxide 40 MG Oral Tablet,1151,IN,ascorbic acid
891719,SBD,ascorbic acid 200 MG / beta carotene 1000 UNT / cuprous oxide 2 MG / dl-alpha tocopheryl acetate 60 UNT / lutein 2 MG / sodium selenate 0.055 MG / zinc oxide 40 MG Oral Tablet [Ocuvite],1151,IN,ascorbic acid
1248145,SCD,ascorbic acid 200 MG / docusate sodium 20 MG / ferrous fumarate 335 MG Oral Tablet,1151,IN,ascorbic acid
245477,SCD,ascorbic acid 200 MG/ML Injectable Solution,1151,IN,ascorbic acid
249268,SCD,ascorbic acid 200 MG/ML Oral Solution,1151,IN,ascorbic acid
308383,SCD,ascorbic acid 222 MG/ML Injectable Solution,1151,IN,ascorbic acid
1086469,SBD,ascorbic acid 222 MG/ML Injectable Solution [Mega C Acid Plus],1151,IN,ascorbic acid
141990,SCD,ascorbic acid 25 MG Chewable Tablet,1151,IN,ascorbic acid
245474,SCD,ascorbic acid 25 MG Oral Lozenge,1151,IN,ascorbic acid
308388,SCD,ascorbic acid 25 MG Oral Tablet,1151,IN,ascorbic acid
432895,SCD,ascorbic acid 25 MG / aspirin 300 MG / caffeine 50 MG Oral Tablet,1151,IN,ascorbic acid
433389,SCD,ascorbic acid 25 MG / zinc gluconate 5 MG Oral Lozenge,1151,IN,ascorbic acid
435063,SCD,ascorbic acid 25 MG / ferrous fumarate 50 MG Oral Tablet,1151,IN,ascorbic acid
1305135,SCD,alpha-tocopherol acetate 30 UNT / ascorbic acid 25 MG / cholecalciferol 170 UNT / docosahexaenoic acid 265 MG / docusate sodium 55 MG / ferrous fumarate 30 MG / folic acid 1.24 MG / pyridoxine hydrochloride 25 MG / tricalcium phosphate 160 MG Oral Capsule,1151,IN,ascorbic acid
1308385,SBD,alpha-tocopherol acetate 30 UNT / ascorbic acid 25 MG / cholecalciferol 170 UNT / docosahexaenoic acid 265 MG / docusate sodium 55 MG / ferrous fumarate 30 MG / folic acid 1.24 MG / pyridoxine hydrochloride 25 MG / tricalcium phosphate 160 MG Oral Capsule [PreNexa],1151,IN,ascorbic acid
1485531,SCD,alpha tocopherol 30 UNT / ascorbic acid 25 MG / cholecalciferol 170 UNT / doconexent 265 MG / docusate sodium 55 MG / ferrous fumarate 30 MG / folic acid 1.2 MG / pyridoxine hydrochloride 25 MG / tricalcium phosphate 160 MG Oral Capsule,1151,IN,ascorbic acid
199083,SCD,ascorbic acid 250 MG Oral Tablet,1151,IN,ascorbic acid
199138,SCD,ascorbic acid 250 MG / vitamin E 200 UNT Oral Tablet,1151,IN,ascorbic acid
199303,SCD,ascorbic acid 250 MG / bee pollen 250 MG Chewable Tablet,1151,IN,ascorbic acid
204734,SCD,ascorbic acid 250 MG / ferrous fumarate 132 MG Oral Tablet,1151,IN,ascorbic acid
210754,SBD,ascorbic acid 250 MG / ferrous fumarate 132 MG Oral Tablet [Vitron-C],1151,IN,ascorbic acid
211865,SBD,ascorbic acid 250 MG Chewable Tablet [Sunkist Vitamin C],1151,IN,ascorbic acid
213358,SBD,ascorbic acid 250 MG / ferrous fumarate 150 MG Chewable Tablet [Hemocyte-C],1151,IN,ascorbic acid
237721,SCD,ascorbic acid 250 MG Oral Wafer,1151,IN,ascorbic acid
242668,SCD,ascorbic acid 250 MG / iron carbonyl 100 MG Oral Tablet,1151,IN,ascorbic acid
243788,SCD,ascorbic acid 250 MG Extended Release Oral Capsule,1151,IN,ascorbic acid
245043,SCD,ascorbic acid 250 MG / ferrous fumarate 150 MG Chewable Tablet,1151,IN,ascorbic acid
247830,SCD,ascorbic acid 250 MG / zinc gluconate 50 MG Oral Tablet,1151,IN,ascorbic acid
282617,SCD,ascorbic acid 250 MG / phenol 1.4 MG Oral Lozenge,1151,IN,ascorbic acid
283284,SCD,ascorbic acid 250 MG / vitamin A 5000 UNT / vitamin E 200 UNT Oral Tablet,1151,IN,ascorbic acid
308374,SCD,ascorbic acid 250 MG / niacinamide 25 MG / vitamin A 25000 UNT Oral Tablet,1151,IN,ascorbic acid
308384,SCD,ascorbic acid 250 MG Chewable Tablet,1151,IN,ascorbic acid
348622,SCD,ascorbic acid 250 MG / ferrous fumarate 200 MG / folic acid 1 MG / vitamin B12 0.01 MG Oral Capsule,1151,IN,ascorbic acid
348694,SCD,ascorbic acid 250 MG / ferrous fumarate 200 MG / vitamin B12 0.01 MG Oral Capsule,1151,IN,ascorbic acid
411969,SCD,ascorbic acid 250 MG Oral Capsule,1151,IN,ascorbic acid
427044,SCD,ascorbic acid 250 MG / zinc gluconate 350 MG Oral Tablet,1151,IN,ascorbic acid
435010,SCD,ascorbic acid 250 MG Oral Lozenge,1151,IN,ascorbic acid
602135,SCD,ascorbic acid 250 MG Disintegrating Oral Tablet,1151,IN,ascorbic acid
606433,SCD,ascorbic acid 250 MG Chewing Gum,1151,IN,ascorbic acid
999749,SBD,ascorbic acid 250 MG / ferrous fumarate 200 MG / folic acid 1 MG / vitamin B12 0.01 MG Oral Capsule [Hematogen],1151,IN,ascorbic acid
1087414,SCD,ascorbic acid 250 MG / folic acid 1 MG / iron carbonyl 100 MG / vitamin B12 0.025 MG Oral Tablet,1151,IN,ascorbic acid
1087418,SBD,ascorbic acid 250 MG / folic acid 1 MG / iron carbonyl 100 MG / vitamin B12 0.025 MG Oral Tablet [Icar-C Plus],1151,IN,ascorbic acid
1088869,SBD,ascorbic acid 250 MG / iron carbonyl 100 MG Oral Tablet [Icar C],1151,IN,ascorbic acid
1926816,SCD,ascorbic acid 250 MG / iron carbonyl 60 MG Chewable Tablet,1151,IN,ascorbic acid
312969,SCD,ascorbic acid 250 MG/ML Injectable Solution,1151,IN,ascorbic acid
540874,SBD,ascorbic acid 250 MG/ML Injectable Solution [Ortho CS],1151,IN,ascorbic acid
244067,SCD,ascorbic acid 30 MG / zinc sulfate 15 MG Oral Lozenge,1151,IN,ascorbic acid
245472,SCD,ascorbic acid 30 MG Chewable Tablet,1151,IN,ascorbic acid
248433,SCD,ascorbic acid 30 MG / zinc gluconate 23 MG Oral Lozenge,1151,IN,ascorbic acid
251285,SCD,ascorbic acid 30 MG / folic acid 1 MG Oral Capsule,1151,IN,ascorbic acid
308390,SCD,ascorbic acid 30 MG / niacin 50 MG Oral Tablet,1151,IN,ascorbic acid
427040,SCD,ascorbic acid 30 MG / zinc gluconate 2 MG Oral Tablet,1151,IN,ascorbic acid
433004,SCD,ascorbic acid 30 MG / dequalinium 0.25 MG Oral Lozenge,1151,IN,ascorbic acid
700937,SCD,ascorbic acid 30 MG / pectin 20 MG / zinc gluconate 4.45 MG Oral Lozenge,1151,IN,ascorbic acid
883748,SCD,alpha tocopherol 30 UNT / ascorbic acid 30 MG / docosahexaenoic acid 250 MG / eicosapentaenoic acid 0.625 MG / ferrous fumarate 83 MG / folic acid 1 MG / pyridoxine 25 MG / tricalcium phosphate 100 MG Oral Capsule,1151,IN,ascorbic acid
883795,SBD,alpha tocopherol 30 UNT / ascorbic acid 30 MG / docosahexaenoic acid 250 MG / eicosapentaenoic acid 0.625 MG / ferrous fumarate 83 MG / folic acid 1 MG / pyridoxine 25 MG / tricalcium phosphate 100 MG Oral Capsule [Natelle],1151,IN,ascorbic acid
904295,SCD,ascorbic acid 30 MG / ubiquinol 200 MG Oral Capsule,1151,IN,ascorbic acid
1119569,SCD,ascorbic acid 30 MG / cholecalciferol 1000 UNT / cuprous oxide 2 MG / folic acid 1 MG / magnesium oxide 20 MG / niacin 15 MG / polysaccharide iron complex 29 MG / potassium iodide 0.15 MG / pyridoxine hydrochloride 2.5 MG / riboflavin 1.8 MG / thiamine mononitrate 1.6 MG / vitamin A 1100 UNT / vitamin B12 0.012 MG / vitamin E 20 UNT / zinc oxide 25 MG Oral Capsule,1151,IN,ascorbic acid
1119573,SBD,ascorbic acid 30 MG / cholecalciferol 1000 UNT / cuprous oxide 2 MG / folic acid 1 MG / magnesium oxide 20 MG / niacin 15 MG / polysaccharide iron complex 29 MG / potassium iodide 0.15 MG / pyridoxine hydrochloride 2.5 MG / riboflavin 1.8 MG / thiamine mononitrate 1.6 MG / vitamin A 1100 UNT / vitamin B12 0.012 MG / vitamin E 20 UNT / zinc oxide 25 MG Oral Capsule [Vitafol-One],1151,IN,ascorbic acid
198720,SCD,ascorbic acid 300 MG / ferrous fumarate 67 MG Chewable Tablet,1151,IN,ascorbic acid
198895,SCD,ascorbic acid 300 MG Chewable Tablet,1151,IN,ascorbic acid
237716,SCD,ascorbic acid 300 MG Oral Tablet,1151,IN,ascorbic acid
242630,SCD,ascorbic acid 300 MG / rutin 50 MG Oral Tablet,1151,IN,ascorbic acid
308389,SCD,ascorbic acid 300 MG / ferrous fumarate 134 MG Chewable Tablet,1151,IN,ascorbic acid
313168,SBD,ascorbic acid 300 MG Oral Tablet [Super C-500],1151,IN,ascorbic acid
313633,SCD,ascorbic acid 300 MG / ferrous fumarate 60 MG / folic acid 1 MG Oral Capsule,1151,IN,ascorbic acid
428673,SCD,ascorbic acid 300 MG / rutin 100 MG Oral Tablet,1151,IN,ascorbic acid
435057,SCD,ascorbic acid 300 MG / ferrous fumarate 100 MG / folic acid 1 MG Oral Tablet,1151,IN,ascorbic acid
1090063,SCD,ascorbic acid 300 MG / biotin 0.3 MG / calcium pantothenate 10 MG / folic acid 0.04 MG / niacinamide 50 MG / pyridoxine hydrochloride 5 MG / riboflavin 10.2 MG / thiamine mononitrate 15 MG Oral Tablet,1151,IN,ascorbic acid
1090067,SBD,ascorbic acid 300 MG / biotin 0.3 MG / calcium pantothenate 10 MG / folic acid 0.04 MG / niacinamide 50 MG / pyridoxine hydrochloride 5 MG / riboflavin 10.2 MG / thiamine mononitrate 15 MG Oral Tablet [Vitabee with C],1151,IN,ascorbic acid
247750,SCD,ascorbic acid 400 MG Oral Tablet,1151,IN,ascorbic acid
245465,SCD,ascorbic acid 5 MG Oral Tablet,1151,IN,ascorbic acid
427358,SCD,ascorbic acid 5 MG / inositol 22.5 MG Oral Tablet,1151,IN,ascorbic acid
849539,SCD,ascorbic acid 5 MG / vitamin A 1600 UNT Oral Capsule,1151,IN,ascorbic acid
248601,SCD,ascorbic acid 50 MG / zinc gluconate 5 MG Oral Lozenge,1151,IN,ascorbic acid
252399,SCD,ascorbic acid 50 MG / piroxicam 20 MG Oral Tablet,1151,IN,ascorbic acid
260079,SCD,ascorbic acid 50 MG / pantothenic acid 125 MG Oral Capsule,1151,IN,ascorbic acid
308396,SCD,ascorbic acid 50 MG Oral Tablet,1151,IN,ascorbic acid
411060,SCD,ascorbic acid 50 MG / aspirin 250 MG / diphenylpyraline 2 MG Oral Capsule,1151,IN,ascorbic acid
411384,SCD,ascorbic acid 50 MG / magnesium oxide 90.5 MG Oral Capsule,1151,IN,ascorbic acid
412054,SCD,ascorbic acid 50 MG / ferrous sulfate 165 MG Oral Capsule,1151,IN,ascorbic acid
412055,SCD,ascorbic acid 50 MG / ferrous fumarate 16.4 MG Oral Capsule,1151,IN,ascorbic acid
412233,SCD,ascorbic acid 50 MG Oral Capsule,1151,IN,ascorbic acid
428476,SCD,ascorbic acid 50 MG / quinine 40 MG Oral Tablet,1151,IN,ascorbic acid
428551,SCD,ascorbic acid 50 MG / vitamin B6 250 MG Oral Tablet,1151,IN,ascorbic acid
428601,SCD,ascorbic acid 50 MG / niacinamide 250 MG Oral Tablet,1151,IN,ascorbic acid
428602,SCD,ascorbic acid 50 MG / bromelains 500 MG Oral Tablet,1151,IN,ascorbic acid
432999,SCD,ascorbic acid 50 MG / tyrothricin 1 MG Oral Lozenge,1151,IN,ascorbic acid
434052,SCD,ascorbic acid 50 MG / tetracaine 0.2 MG / tyrothricin 1 MG Oral Lozenge,1151,IN,ascorbic acid
434352,SCD,ascorbic acid 50 MG Oral Lozenge,1151,IN,ascorbic acid
435073,SCD,ascorbic acid 50 MG / ferrous fumarate 100 MG Chewable Tablet,1151,IN,ascorbic acid
807801,SCD,ascorbic acid 50 MG / polysaccharide iron complex 150 MG Oral Capsule,1151,IN,ascorbic acid
807805,SBD,ascorbic acid 50 MG / polysaccharide iron complex 150 MG Oral Capsule [Fe-Tinic 150 Reformulated Oct 2008],1151,IN,ascorbic acid
808085,SBD,ascorbic acid 50 MG / polysaccharide iron complex 150 MG Oral Capsule [Ferrex 150 Plus],1151,IN,ascorbic acid
835524,SCD,ascorbic acid 50 MG / ferrous bisglycinate 80 MG / polysaccharide iron complex 70 MG Oral Capsule,1151,IN,ascorbic acid
856566,SBD,ascorbic acid 50 MG / polysaccharide iron complex 150 MG Oral Capsule [Rexavite],1151,IN,ascorbic acid
1441398,SCD,ascorbic acid 50 MG / collagen 740 MG Oral Capsule,1151,IN,ascorbic acid
243791,SCD,ascorbic acid 50 MG/ML Injectable Solution,1151,IN,ascorbic acid
308385,SCD,ascorbic acid 50 MG/ML Oral Solution,1151,IN,ascorbic acid
2713891,SCD,ascorbic acid 50 MG/ML / cholecalciferol 0.01 MG/ML / vitamin A 0.25 MG/ML Oral Suspension,1151,IN,ascorbic acid
198896,SCD,ascorbic acid 500 MG Oral Capsule,1151,IN,ascorbic acid
198995,SCD,ascorbic acid 500 MG / ferrous sulfate 105 MG Extended Release Oral Tablet,1151,IN,ascorbic acid
210767,SBD,ascorbic acid 500 MG Oral Tablet [Cemill 500],1151,IN,ascorbic acid
210769,SBD,ascorbic acid 500 MG Oral Tablet [Special C],1151,IN,ascorbic acid
210770,SBD,ascorbic acid 500 MG Chewable Tablet [Sunkist Vitamin C],1151,IN,ascorbic acid
210780,SBD,ascorbic acid 500 MG / ferrous sulfate 105 MG Extended Release Oral Tablet [Fero-Grad],1151,IN,ascorbic acid
211854,SBD,ascorbic acid 500 MG Oral Capsule [Ascot],1151,IN,ascorbic acid
211855,SBD,ascorbic acid 500 MG Oral Capsule [C-Time],1151,IN,ascorbic acid
211856,SBD,ascorbic acid 500 MG Oral Capsule [Cevi-Bid],1151,IN,ascorbic acid
211859,SBD,ascorbic acid 500 MG Chewable Tablet [C-500],1151,IN,ascorbic acid
237722,SCD,ascorbic acid 500 MG Oral Wafer,1151,IN,ascorbic acid
245577,SCD,ascorbic acid 500 MG / ferrous sulfate 105 MG Chewable Tablet,1151,IN,ascorbic acid
248382,SCD,ascorbic acid 500 MG / calcium ascorbate 50 MG Oral Capsule,1151,IN,ascorbic acid
248383,SCD,ascorbic acid 500 MG / calcium ascorbate 50 MG Oral Tablet,1151,IN,ascorbic acid
282402,SCD,ascorbic acid 500 MG Oral Tablet,1151,IN,ascorbic acid
283297,SCD,ascorbic acid 500 MG / vitamin E 400 UNT Oral Capsule,1151,IN,ascorbic acid
283426,SCD,ascorbic acid 500 MG / vitamin E 200 UNT Oral Capsule,1151,IN,ascorbic acid
308391,SCD,ascorbic acid 500 MG Extended Release Oral Capsule,1151,IN,ascorbic acid
308392,SCD,ascorbic acid 500 MG Extended Release Oral Tablet,1151,IN,ascorbic acid
308394,SCD,ascorbic acid 500 MG / ferrous sulfate 525 MG Extended Release Oral Tablet,1151,IN,ascorbic acid
313634,SCD,ascorbic acid 500 MG / ferrous sulfate 525 MG / folic acid 0.8 MG Extended Release Oral Tablet,1151,IN,ascorbic acid
313635,SCD,ascorbic acid 500 MG / vitamin A 5000 UNT / vitamin E 50 UNT / zinc sulfate 80 MG Oral Capsule,1151,IN,ascorbic acid
313803,SCD,ascorbic acid 500 MG Chewable Tablet,1151,IN,ascorbic acid
346204,SBD,ascorbic acid 500 MG Oral Tablet [Sunkist Vitamin C],1151,IN,ascorbic acid
359537,SCD,ascorbic acid 500 MG / ferrous sulfate 105 MG / folic acid 0.8 MG Oral Tablet,1151,IN,ascorbic acid
427041,SCD,ascorbic acid 500 MG / zinc gluconate 7.5 MG Oral Tablet,1151,IN,ascorbic acid
427042,SCD,ascorbic acid 500 MG / zinc gluconate 10 MG Oral Tablet,1151,IN,ascorbic acid
428560,SCD,ascorbic acid 500 MG / calcium ascorbate 67 MG Oral Tablet,1151,IN,ascorbic acid
429008,SCD,ascorbic acid 500 MG / calcium phosphate 110 MG Oral Tablet,1151,IN,ascorbic acid
434317,SCD,ascorbic acid 500 MG / ferrous sulfate 325 MG Extended Release Oral Tablet,1151,IN,ascorbic acid
434369,SCD,ascorbic acid 500 MG / ferrous sulfate 97.5 MG Extended Release Oral Tablet,1151,IN,ascorbic acid
435079,SCD,ascorbic acid 500 MG / ferrous fumarate 33 MG Extended Release Oral Tablet,1151,IN,ascorbic acid
861072,SBD,ascorbic acid 500 MG / ferrous sulfate 525 MG / folic acid 0.8 MG Extended Release Oral Tablet [Folitab],1151,IN,ascorbic acid
1087406,SCD,24 HR ascorbic acid 500 MG / biotin 0.15 MG / copper sulfate 3 MG / dl-alpha tocopheryl acetate 30 UNT / docusate sodium 50 MG / folic acid 1 MG / iron carbonyl 150 MG / vitamin B12 0.06 MG Extended Release Oral Tablet,1151,IN,ascorbic acid
1087410,SBD,24 HR ascorbic acid 500 MG / biotin 0.15 MG / copper sulfate 3 MG / dl-alpha tocopheryl acetate 30 UNT / docusate sodium 50 MG / folic acid 1 MG / iron carbonyl 150 MG / vitamin B12 0.06 MG Extended Release Oral Tablet [Hemax],1151,IN,ascorbic acid
1087411,SCD,ascorbic acid 500 MG / biotin 0.15 MG / copper sulfate 3 MG / dl-alpha tocopheryl acetate 30 UNT / docusate sodium 50 MG / folic acid 1 MG / iron carbonyl 150 MG / vitamin B12 0.06 MG Extended Release Oral Tablet,1151,IN,ascorbic acid
1087412,SBD,ascorbic acid 500 MG / biotin 0.15 MG / copper sulfate 3 MG / dl-alpha tocopheryl acetate 30 UNT / docusate sodium 50 MG / folic acid 1 MG / iron carbonyl 150 MG / vitamin B12 0.06 MG Extended Release Oral Tablet [Hemax],1151,IN,ascorbic acid
1150172,SCD,ascorbic acid 500 MG / calcium carbonate 30 MG Oral Tablet,1151,IN,ascorbic acid
1298171,SCD,ascorbic acid 500 MG / calcium carbonate 75 MG Oral Tablet,1151,IN,ascorbic acid
1298310,SCD,ascorbic acid 500 MG / biotin 0.045 MG / dl-alpha tocopheryl acetate 30 UNT / folic acid 0.4 MG / niacin 100 MG / pantothenic acid 20 MG / pyridoxine 5 MG / riboflavin 10 MG / thiamine mononitrate 10 MG / vitamin B12 0.012 MG Oral Tablet,1151,IN,ascorbic acid
2121705,SCD,ascorbic acid 500 MG Oral Powder,1151,IN,ascorbic acid
209078,SBD,ascorbic acid 500 MG/ML Injectable Solution [Cee-500],1151,IN,ascorbic acid
308395,SCD,ascorbic acid 500 MG/ML Injectable Solution,1151,IN,ascorbic acid
2002739,SBD,ascorbic acid 500 MG/ML Injectable Solution [Ascor],1151,IN,ascorbic acid
212360,SBD,ascorbic acid 60 MG Chewable Tablet [N Ice with Vitamin C],1151,IN,ascorbic acid
212361,SBD,ascorbic acid 60 MG Chewable Tablet [Sunkist Vitamin C],1151,IN,ascorbic acid
237717,SCD,ascorbic acid 60 MG Oral Lozenge,1151,IN,ascorbic acid
242710,SCD,ascorbic acid 60 MG / zinc gluconate 10.5 MG Oral Lozenge,1151,IN,ascorbic acid
243794,SCD,ascorbic acid 60 MG Chewing Gum,1151,IN,ascorbic acid
248221,SCD,ascorbic acid 60 MG / zinc gluconate 6.4 MG Chewable Tablet,1151,IN,ascorbic acid
252094,SCD,ascorbic acid 60 MG / zinc gluconate 15 MG Oral Tablet,1151,IN,ascorbic acid
282754,SCD,ascorbic acid 60 MG / vitamin A 5000 UNT / vitamin E 30 UNT Oral Tablet,1151,IN,ascorbic acid
308399,SCD,ascorbic acid 60 MG Chewable Tablet,1151,IN,ascorbic acid
