brand_name,ingredient_name
Actifed with Codeine,triprolidine
Actifed with Codeine,pseudoephedrine
Actigall,ursodeoxycholate
Actimmune,interferon gamma-1b
Actinex,masoprocol
Actiq,fentanyl
Actisite,tetracycline
ActivICE,menthol
ActivOn Arthritis,menthol
ActivOn Arthritis,histamine
ActivOn Joint & Muscle,menthol
Activase,alteplase
Active Q,ubiquinol
ActiveOxy,hydrogen peroxide
Actonel,risedronate
Actoplus Met,metformin
Actoplus Met,pioglitazone
Actos,pioglitazone
Actron,ketoprofen
Acuflex,phenyltoloxamine
Acuflex,acetaminophen
Acuguard,spinosad
Acular,ketorolac
Acupan,nefopam
Acuprin 81,aspirin
Acuvail,ketorolac
Acuvue Theravision,ketotifen
Acys-5,acetylcysteine
Aczone,dapsone
Adacel,"tetanus toxoid vaccine, inactivated"
Adacel,"diphtheria toxoid vaccine, inactivated"
Adacel,"acellular pertussis vaccine, inactivated"
Adagen,pegademase bovine
Adakveo,crizanlizumab
Adalat,nifedipine
Adalat AR,nifedipine
Adalat LA,nifedipine
Adalat Retard 10,nifedipine
Adalat Retard 20,nifedipine
Adalate,nifedipine
Adalate LP,nifedipine
Adapin,doxepin
Adasuve,loxapine
Adbeon,betamethasone
Adbry,tralokinumab
Adcetris,brentuximab vedotin
Adcirca,tadalafil
Adcortyl,triamcinolone
Addaprin,ibuprofen
Adderall,amphetamine
Adderall,dextroamphetamine
Addyi,flibanserin
Adempas,riociguat
Adenocard,adenosine
Adenoscan,adenosine
Adequan,polysulfated glycosaminoglycan
Adhansia,methylphenidate
Adifax,dexfenfluramine
Adipex-P,phentermine
Adipine MR 10,nifedipine
Adipine MR 20,nifedipine
Adipost,phendimetrazine
Adlarity,donepezil
Adlyxin,lixisenatide
Admelog,insulin lispro
Adoxa,doxycycline
Adprin B,acetaminophen
Adquey,difamilast
Adrenaclick,epinephrine
Adrenalin,epinephrine
Adriamycin,doxorubicin
Adrucil,fluorouracil
Adsorbocarpine,pilocarpine
Adsorbonac,sodium chloride
Adstiladrin,nadofaragene firadenovec
Adthyza,thyroid (USP)
Aduhelm,aducanumab
Advair,fluticasone
Advair,salmeterol
Advanced Eye Relief Redness Instant Relief,polyethylene glycol 300
Advanced Eye Relief Redness Instant Relief,naphazoline
Advanced Formula Di-Gel,simethicone
Advanced Formula Di-Gel,calcium carbonate
Advanced Formula Di-Gel,magnesium hydroxide
Advantage 24 Contraceptive,nonoxynol-9
Advantage Multi,imidacloprid
Advantage Multi,moxidectin
Advantage-S,nonoxynol-9
Advantus,imidacloprid
Advate,factor VIII
Advicor,lovastatin
Advicor,niacin
Advil,ibuprofen
Advocin,danofloxacin
Adynovate,factor VIII
Adzenys,amphetamine
Adzynma,"ADAMTS13, recombinant"
Aemcolo,rifamycin SV
Aero Florafree,chloroxylenol
AeroBid,flunisolide
Aeroaid,thimerosal
Aerodine,povidone-iodine
Aerohist,methscopolamine
Aerohist,chlorpheniramine
Aerolate,theophylline
Aerolate III,theophylline
Aerolate JR,theophylline
Aeroseb-Dex,dexamethasone
Aeroseb-HC,hydrocortisone
Aerospan,flunisolide
Aerosporin,polymyxin B
Aerozoin,compound benzoin tincture (USP)
Afeditab CR,nifedipine
Afinitor,everolimus
Aflaxen,naproxen
Afluria 2015-2016,influenza A virus (H1N1) antigen
Afluria 2015-2016,influenza A virus (H3N2) antigen
Afluria 2015-2016,influenza B virus antigen
Afluria 2016-2017,influenza A virus (H1N1) antigen
Afluria 2016-2017,influenza A virus (H3N2) antigen
Afluria 2016-2017,influenza B virus antigen
Afluria 2017-2018,influenza A virus (H3N2) antigen
Afluria 2017-2018,influenza A virus (H1N1) antigen
Afluria 2017-2018,influenza B virus antigen
Afluria 2018-2019,influenza A virus (H1N1) antigen
Afluria 2018-2019,influenza B virus antigen
Afluria 2018-2019,influenza A virus (H3N2) antigen
Afluria 2024-2025,influenza A virus (H1N1) antigen
Afluria 2024-2025,influenza B virus antigen
Afluria 2024-2025,influenza A virus (H3N2) antigen
Afluria 2025-2026,influenza B virus antigen
Afluria 2025-2026,influenza A virus (H1N1) antigen
Afluria 2025-2026,influenza A virus (H3N2) antigen
Afluria Quadrivalent 2016-2017 Formula,influenza B virus antigen
Afluria Quadrivalent 2016-2017 Formula,influenza A virus (H3N2) antigen
Afluria Quadrivalent 2016-2017 Formula,influenza A virus (H1N1) antigen
Afluria Quadrivalent 2017-2018,influenza A virus (H3N2) antigen
Afluria Quadrivalent 2017-2018,influenza B virus antigen
Afluria Quadrivalent 2017-2018,influenza A virus (H1N1) antigen
Afluria Quadrivalent 2018-2019,influenza B virus antigen
Afluria Quadrivalent 2018-2019,influenza A virus (H1N1) antigen
Afluria Quadrivalent 2018-2019,influenza A virus (H3N2) antigen
Afluria Quadrivalent 2019-2020,influenza A virus (H1N1) antigen
Afluria Quadrivalent 2019-2020,influenza A virus (H3N2) antigen
Afluria Quadrivalent 2019-2020,influenza B virus antigen
Afluria Quadrivalent 2020-2021,influenza A virus (H1N1) antigen
Afluria Quadrivalent 2020-2021,influenza A virus (H3N2) antigen
Afluria Quadrivalent 2020-2021,influenza B virus antigen
Afluria Quadrivalent 2021-2022,influenza B virus antigen
Afluria Quadrivalent 2021-2022,influenza A virus (H1N1) antigen
Afluria Quadrivalent 2021-2022,influenza A virus (H3N2) antigen
Afluria Quadrivalent 2022-2023,influenza A virus (H1N1) antigen
Afluria Quadrivalent 2022-2023,influenza B virus antigen
Afluria Quadrivalent 2022-2023,influenza A virus (H3N2) antigen
Afluria Quadrivalent 2023-2024,influenza B virus antigen
Afluria Quadrivalent 2023-2024,influenza A virus (H1N1) antigen
Afluria Quadrivalent 2023-2024,influenza A virus (H3N2) antigen
Afrazine,oxymetazoline
Afrezza,"insulin, regular, human"
Afrin,oxymetazoline
Afrin Nasal,phenylephrine
Afrinol,pseudoephedrine
Afstyla,factor VIII
Aftate,tolnaftate
After Sting,diphenhydramine
After banger,levonorgestrel
After-bug,colloidal oatmeal
AfterPlan,levonorgestrel
Aftera,levonorgestrel
Afterpill,levonorgestrel
Agamree,vamorolone
Agenerase,amprenavir
Aggrastat,tirofiban
Aggrenox,dipyridamole
Aggrenox,aspirin
Agistam,loratadine
Agoral,mineral oil
Agoral,phenolphthalein
Agoral Plain,mineral oil
Agri-Cillin,penicillin G
Agri-Mectin,ivermectin
Agrimectin,ivermectin
Agrimycin,oxytetracycline
Agro Dip Concentrate,iodine
Agrylin,anagrelide
Ah-Chew D,phenylephrine
Ah-Chew D Suspension,phenylephrine
Ahist Antihistamine,chlorcyclizine
Ahzantive,aflibercept
Aimovig,erenumab
AirDuo,salmeterol
AirDuo,fluticasone
Airacof,diphenhydramine
Airacof,phenylephrine
Airacof,codeine
Airet,albuterol
Airmit,dimenhydrinate
Airsupra,budesonide
Airsupra,albuterol
Ajovy,fremanezumab
Ak-Tracin,bacitracin
Akarpine,pilocarpine
Akeega,abiraterone
Akeega,niraparib
Akineton,biperiden
Aklief,trifarotene
Aknemin,minocycline
Aknemycin,erythromycin
Aknetrol,benzoyl peroxide
Akovaz,ephedrine
Akten,lidocaine
Aktipak,benzoyl peroxide
Aktipak,erythromycin
Akurza,salicylic acid
Akwa Tears,petrolatum
Akwa Tears,lanolin
Akwa Tears,mineral oil
Akwa Tears Solution,polyvinyl alcohol
Akynzeo,palonosetron
Akynzeo,netupitant
Ala Seb,sulfur
Ala Seb,salicylic acid
Ala Seb T,coal tar
Ala Seb T,salicylic acid
Ala Seb T,sulfur
Ala-Cort,hydrocortisone
Ala-Hist AC,phenylephrine
Ala-Hist AC,codeine
Ala-Hist DHC,phenylephrine
Ala-Hist DHC,dihydrocodeine
Ala-Hist IR,dexbrompheniramine
Ala-Quin,clioquinol
Ala-Quin,hydrocortisone
Ala-Scalp,hydrocortisone
Ala-Tet,tetracycline
Alagesic,butalbital
Alagesic,caffeine
Alagesic,acetaminophen
Alahist D,pheniramine
Alahist D,phenylephrine
Alamag,magnesium hydroxide
Alamag,aluminum hydroxide
Alamag Plus,aluminum hydroxide
Alamag Plus,magnesium hydroxide
Alamag Plus,simethicone
Alamag Plus Reformulated Mar 2010,simethicone
Alamag Plus Reformulated Mar 2010,aluminum hydroxide
Alamag Plus Reformulated Mar 2010,magnesium hydroxide
Alamast,pemirolast
Alavert,loratadine
Alavert D,pseudoephedrine
Alavert D,loratadine
Alaway,ketotifen
Alba Natural Acnedote,salicylic acid
Albadry,novobiocin
Albadry,penicillin G
Albafort,ferric ammonium citrate
Albalon,naphazoline
Albamycin,novobiocin
Albatussin EX,guaifenesin
Albendamax,albendazole
Albenza,albendazole
Albon,sulfadimethoxine
Albucid,sulfacetamide
Albuked,"albumin human, USP"
Albuminar,"albumin human, USP"
Albuminex,"albumin human, USP"
Alburx,"albumin human, USP"
Albutein,"albumin human, USP"
Alcaine,proparacaine
Alconefrin,phenylephrine
Alcortin,hydrocortisone
Alcortin,iodoquinol
Alcortin A,aloe polysaccharide
Alcortin A,hydrocortisone
Alcortin A,iodoquinol
Aldactazide,spironolactone
Aldactazide,hydrochlorothiazide
Aldactone,spironolactone
Aldara,imiquimod
Aldex AN,doxylamine
Aldex CT,diphenhydramine
Aldex CT,phenylephrine
Aldex D,pyrilamine
Aldex D,phenylephrine
Aldoclor,chlorothiazide
Aldoclor,methyldopa
Aldomet,methyldopa
Aldoril,hydrochlorothiazide
Aldoril,methyldopa
Aldroxicon,simethicone
Aldroxicon,aluminum hydroxide
Aldroxicon,magnesium hydroxide
Aldurazyme,laronidase
Alecensa,alectinib
Alenic Alka,magnesium carbonate
Alenic Alka,aluminum hydroxide
Alenic Alka Chewable Tablet,aluminum hydroxide
Alenic Alka Chewable Tablet,magnesium trisilicate
Aler-Dryl,diphenhydramine
Alera,hydroquinone
Alesse,ethinyl estradiol
Alesse,levonorgestrel
Alevazol,clotrimazole
Aleve,naproxen
Aleve Arthritis Pain,diclofenac
Aleve PM,naproxen
Aleve PM,diphenhydramine
Alexan,cytarabine
Alfaxan,alfaxalone
Alfenta,alfentanil
Alferon N,interferon alfa-n3
Algal-900,docosahexaenoate
Alginic Compound,aluminum hydroxide
Alginic Compound,magnesium trisilicate
Algiotic,antipyrine
Algiotic,benzocaine
Algitec,alginic acid
Algitec,cimetidine
Alhemo,concizumab
Ali Flex,acetaminophen
Ali Flex,phenyltoloxamine
Aliclen,salicylic acid
Alidrin,acetaminophen
Alidrin,isometheptene
Alidrin,dichloralphenazone
Align,Bifidobacterium infantis
Alimix,cisapride
Alimta,pemetrexed
Alinia,nitazoxanide
Aliqopa,copanlisib
Alka-Mints,calcium carbonate
Alka-Seltzer,aspirin
Alka-Seltzer,citric acid
Alka-Seltzer,sodium bicarbonate
Alkabel,phenobarbital
Alkabel,scopolamine
Alkabel,atropine
Alkabel,hyoscyamine
Alkeran,melphalan
Alkets,calcium carbonate
Alkindi,hydrocortisone
Alkums,calcium carbonate
All Clear,naphazoline
All Day C CR,ascorbic acid
AllanEnzyme,papain
AllanEnzyme,urea
Allanderm,castor oil
Allanderm,Peruvian balsam
Allanderm,trypsin
Allanfil,urea
Allanfil,papain
Allanfil,chlorophyllin copper complex
AllanfillEnzyme,chlorophyllin copper complex
AllanfillEnzyme,papain
AllanfillEnzyme,urea
Allanfol,vitamin B6
Allanfol,folic acid
Allanfol,vitamin B12
Allanzyme,papain
Allanzyme,urea
Allay,acetaminophen
Allay,hydrocodone
Allday,sodium fluoride
AlleRx AM,pseudoephedrine
AlleRx AM,methscopolamine
AlleRx PE AM,phenylephrine
AlleRx PE AM,methscopolamine
AlleRx PM,chlorpheniramine
AlleRx PM,methscopolamine
Allegra,fexofenadine
Allegra Cooling Relief Anti-Itch,allantoin
